hru,pesticide,C_max_pst_soil,M_pst_soil,C_max_pst_surf,M_pst_surf,C_max_pst_sussed,M_pst_sussed,C_max_pst_sed,RI_max_fish,RI_max_invertebrate_water,RI_max_plant_nonvascular,RI_max_plant_vascular,RI_max_invertebrate_sed,RI_max_net,Exceedance_Events_Water,Exceedance_Events_Sed
Alfalfa and alfalfa mixtures,(S)-CYPERMETHRIN,12.9894546589129,25.8299768748833,0.00874249680271888,5.56944164133099e-05,0.0193319327100852,0.000371595779439392,19.3319327100852,0.00578973298193304,0.0416309371558042,0.000131071916082742,0.00539660296464129,0.00485694266817716,0.0578052876866384,0,0
Alfalfa and alfalfa mixtures,"2,4-D",0.57727909449179,0.398773950748798,2.11997230719394,0.00358281929962623,0.00081570224396269,1.56615601340838e-06,0.81570224396269,2.11997230719394e-05,1.57971110819221e-05,8.76021614542952e-05,0.00078517492859035,0.000546384615256171,0.00145615853945468,0,0
Alfalfa and alfalfa mixtures,"2,4-D, BUTOXYETHANOL ESTER",1.03253340505981,0.257496144444802,3.12200394337485,0.00242742114104645,0.00137449908746859,1.26034516856087e-06,1.37449908746859,0.0145888034737142,0.00183647290786756,0.0205394996274661,0.00946061801022681,0,0,0,0
Alfalfa and alfalfa mixtures,"2,4-D, DIMETHYLAMINE SALT",4.87880883055661,6.13698152088296,9.09916473315445,0.0224926429984955,0.00536766866332539,0.000300172990791752,5.36766866332539,1.83821509760696e-05,9.09916473315445e-05,0.000149903867103039,0.00606772788287173,0.00234514554978207,0.00867215109806446,0,0
Alfalfa and alfalfa mixtures,"2,4-DB ACID",3.63849935950118,1.16734824467829,3.53567049623988,0.00993899451187801,0.00487459753762027,1.27691140819599e-05,4.87459753762027,0.00101019157035425,0.000141426819849595,0.00321424590567262,5.13905595383704e-05,0,0,0,0
Alfalfa and alfalfa mixtures,"4-(2,4-DB), DIMETHYLAMINE SALT",231.75467586416,535.244106754827,231.093604492531,1.49588221527862,0.317887774788993,0.0102881512562933,317.887774788993,0.0660267441407232,0.00924374417970124,0.21008509499321,0.00335891866994958,0,0,0,0
Alfalfa and alfalfa mixtures,ALLETHRIN,0.000340186910945078,0.000311697245951112,3.20164057905289e-05,1.87802811401159e-07,6.96509384881149e-07,1.55187646137448e-09,0.000696509384881149,1.68507398897521e-09,1.52459075192995e-06,0,0,0,0,0,0
Alfalfa and alfalfa mixtures,AZOXYSTROBIN,0.770254067173776,2.00589025326041,0.364949770665598,0.00364925953465513,0.0011608372488715,1.4072654859742e-05,1.1608372488715,0.000776488873756592,0.00158673813332869,0.00101374936296,0.000114046803332999,0.00173785605078856,0.00522887922416684,0,0
Alfalfa and alfalfa mixtures,BETA-CYFLUTHRIN,0.499870549654327,3.20631937858622,0.0013531908492555,2.52200916058301e-05,0.000777126322524647,9.20589023339603e-05,0.777126322524647,0.0198998654302279,0.00466617534226035,0.00067659542462775,0.00161094148720893,0.00300709077612333,0.0298606684604483,0,0
Alfalfa and alfalfa mixtures,BIFENTHRIN,0.383563795965997,1.6601327149729,0.000454208236483448,1.12293408441549e-05,0.000553428018148529,5.91498748152453e-05,0.553428018148529,0.00174695475570557,0.00412916578621316,5.52564764578403e-07,1.37638859540439e-06,1.73361922321927e-05,0.0058953856875109,0,0
Alfalfa and alfalfa mixtures,BOSCALID,0.402675721845686,1.20937285509555,0.0825080098580069,0.00130073345242655,0.000670574336620288,7.2622351074763e-06,0.670574336620288,3.05585221696322e-05,1.54799268026279e-05,2.20021359621352e-05,2.11558999635915e-05,0,0,0,0
Alfalfa and alfalfa mixtures,CHLORANTRANILIPROLE,10.568435289493,194.229263540326,3.81946782064506,0.236454954170582,0.0214347928580769,0.00545136384090149,21.4347928580769,0.000318288985053755,0.329264467296988,0.000954866955161264,0.00190973391032253,0.954866955161264,1.28731431230879,0,0
Alfalfa and alfalfa mixtures,CHLORFENAPYR,0.00064493503611971,7.44898126119347e-05,3.46946609613337e-06,3.29768091383256e-09,4.17990411279334e-07,2.00703548537356e-10,0.000417990411279334,4.95638013733338e-07,5.68764933792355e-07,0,0,0,0,0,0
Alfalfa and alfalfa mixtures,CHLORPYRIFOS,71.0263320459,497.327966821656,2.42609372946739,0.0604149073584373,0.124558874144687,0.0121171598536049,124.558874144687,0.0970437491786956,24.2609372946739,0.00505436193639039,0.00457753533861772,101.087238727808,125.454851668935,713,2376
Alfalfa and alfalfa mixtures,CYANTRANILIPROLE,0.000485058449059253,0.000310611599525538,0.000275599064270836,5.49250535966229e-07,6.62468022726852e-07,1.16878912923327e-09,0.000662468022726852,2.18729416087965e-08,1.37799532135418e-05,2.11999280208335e-08,2.27767821711434e-08,3.83308851558881e-10,1.38461861741941e-05,0,0
Alfalfa and alfalfa mixtures,CYFLUTHRIN,0.0729371285374829,0.0284545107834694,3.69998172409014e-05,1.20186771943644e-07,0.000110911696848495,2.01949261570972e-07,0.110911696848495,7.87230154061732e-05,0.000231248857755634,3.69998172409014e-09,4.40474014772636e-05,0.000336361974917286,0.00069038494953808,0,0
Alfalfa and alfalfa mixtures,CYPERMETHRIN,1.26149415344987,1.61443738674105,0.000540346017567275,3.33268207792371e-06,0.00226712075139322,3.93663773789791e-05,2.26712075139322,0.00035784504474654,0.00257307627412988,8.1011396936623e-06,0.000333546924424244,0.00030019223198182,0.00357276161497615,0,0
Alfalfa and alfalfa mixtures,DIAZINON,5.06114324292197,1.21974320223473,0.747967373225179,0.00129854101038039,0.00665038258935312,1.63431527530634e-06,6.65038258935312,0.000241279797814574,0.747967373225179,0.000116869902066434,0,0.0325203205750078,0,0,0
