huc,hru,pesticide,year,RI_fish,RI_invertebrate_water,RI_plant_nonvascular,RI_plant_vascular,RI_invertebrate_sed,RI_net
1.80E+11,Almonds,"2,4-D, DIMETHYLAMINE SALT",2015,0.00118630050592279,0.00587218750431782,0.0096741145046422,0.391583589244986,0.151345038771078,0.559661230530947
1.80E+11,Almonds,"2,4-D, DIMETHYLAMINE SALT",2016,0.00100760393228672,0.00498763946481928,0.00821686897004824,0.332597990452073,0.128547408887095,0.475357511706322
1.80E+11,Almonds,"2,4-D, DIMETHYLAMINE SALT",2017,0.000491238124878435,0.00243162871814825,0.00400597811886038,0.162151821695669,0.0626708432512436,0.2317515099088
1.80E+11,Almonds,"2,4-D, DIMETHYLAMINE SALT",2018,0.000976197118834244,0.00483217573822951,0.00796075080433198,0.322230977475961,0.124540611810039,0.460540712947396
1.80E+11,Almonds,"2,4-D, DIMETHYLAMINE SALT",2019,7.97034409979306e-05,0.000394532032939757,0.000649970400230241,0.0263091513029979,0.0101683513644267,0.0376017085415925
1.80E+11,Almonds,ACETAMIPRID,2015,7.95001928048001e-08,1.59638941375101e-07,8.08750689774162e-08,7.95001928048001e-06,2.83929260017143e-06,1.11093260838088e-05
1.80E+11,Almonds,ACETAMIPRID,2016,8.7524875247393e-06,1.7575276154095e-05,8.90385302618443e-06,0.000875248752473929,0.000312588840169261,0.00122306920934821
1.80E+11,Almonds,ACETAMIPRID,2017,3.94491560409741e-07,7.92151727730403e-07,4.01313896652839e-07,3.94491560409741e-05,1.40889843003479e-05,5.51260975261149e-05
1.80E+11,Almonds,ACETAMIPRID,2018,5.14024616583436e-06,1.03217794494666e-05,5.22914157256802e-06,0.000514024616583436,0.00018358022020837,0.000718296003979675
1.80E+11,Almonds,ACETAMIPRID,2019,3.05967319431184e-05,6.14392207693141e-05,3.1125871763091e-05,0.00305967319431184,0.00109274042653994,0.00427557544532731
1.80E+11,Almonds,AZOXYSTROBIN,2015,1.48050009664789,3.02536976271525,1.93287512617919,0.217448451695159,3.31350021630718,9.96969365354468
1.80E+11,Almonds,AZOXYSTROBIN,2016,4.25923703574555,8.70365829043656,5.56067057444558,0.625575439625128,9.53257812762099,28.6817194678738
1.80E+11,Almonds,AZOXYSTROBIN,2017,2.68181039582439,5.48022124364114,3.50125246121517,0.393890901886707,6.00214707636886,18.0593220789363
1.80E+11,Almonds,AZOXYSTROBIN,2018,2.38367936880707,4.87099697104054,3.11202584260923,0.350102907293538,5.33490144447297,16.0517065342233
1.80E+11,Almonds,AZOXYSTROBIN,2019,2.5682849320748,5.24823442641371,3.35303866131987,0.377216849398486,5.74806627654835,17.2948411457552
1.80E+11,Almonds,BIFENTHRIN,2015,1.38508646787907,3.27384074225962,0.000438105208818197,0.00109128024741987,0.0137451328873495,4.67420172848227
1.80E+11,Almonds,BIFENTHRIN,2016,4.66022391415013,11.015074706173,0.00147403676116671,0.00367169156872435,0.0462464968579784,15.726690845511
1.80E+11,Almonds,BIFENTHRIN,2017,5.95420855824976,14.073583864954,0.00188332630796221,0.00469119462165133,0.0590875658452266,20.0934545099786
1.80E+11,Almonds,BIFENTHRIN,2018,10.0111768831329,23.6627817237687,0.00316655229880116,0.00788759390792289,0.0993475568555173,33.7843603099638
1.80E+11,Almonds,BIFENTHRIN,2019,9.90848786269495,23.4200622209153,0.0031340715867405,0.00780668740697178,0.0983285055076598,33.4378193481117
1.80E+11,Almonds,BOSCALID,2015,0.0374256314648162,0.0189585750384622,0.0269464546546677,0.0259100525525651,0,0
1.80E+11,Almonds,BOSCALID,2016,0.110746096037802,0.0561002737902563,0.0797371891472176,0.0766703741800169,0,0
1.80E+11,Almonds,BOSCALID,2017,0.0930727773954524,0.0471475607819365,0.0670123997247257,0.0644349997353132,0,0
1.80E+11,Almonds,BOSCALID,2018,0.0352742628560604,0.0178687635480981,0.0253974692563635,0.0244206435157341,0,0
1.80E+11,Almonds,BOSCALID,2019,0.019204409519751,0.00972831251469563,0.0138271748542207,0.0132953604367507,0,0
1.80E+11,Almonds,CHLORANTRANILIPROLE,2015,0.000509011456008814,0.526563575181531,0.00152703436802644,0.00305406873605288,1.52703436802644,2.05868805776806
1.80E+11,Almonds,CHLORANTRANILIPROLE,2016,0.000470478030677096,0.486701411045272,0.00141143409203129,0.00282286818406257,1.41143409203129,1.90284028338333
1.80E+11,Almonds,CHLORANTRANILIPROLE,2017,0.00558522507734918,5.77781904553363,0.0167556752320475,0.0335113504640951,16.7556752320475,22.5893465283547
1.80E+11,Almonds,CHLORANTRANILIPROLE,2018,0.0332007756746644,34.3456300082736,0.0996023270239933,0.199204654047987,99.6023270239933,134.279964789013
1.80E+11,Almonds,CHLORANTRANILIPROLE,2019,0.0358294957717893,37.0649956259889,0.107488487315368,0.214976974630736,107.488487315368,144.911777899075
1.80E+11,Almonds,CHLOROTHALONIL,2015,0.160845614194412,0.050636582246389,0.210336572408077,0.00942888083208623,0.0448258269066394,0.476073476587604
1.80E+11,Almonds,CHLOROTHALONIL,2016,1.0602788145784,0.33379147866357,1.38651844983329,0.0621542753373545,0.295487538489062,3.13823055690168
1.80E+11,Almonds,CHLOROTHALONIL,2017,39.0061014349926,12.2796985999051,51.0079787996057,2.28656456687888,10.8705528589324,115.450896260315
1.80E+11,Almonds,CHLOROTHALONIL,2018,12.3516523722793,3.88848315423609,16.1521607945191,0.724062380443961,3.44226377588113,36.5586224773597
1.80E+11,Almonds,CHLOROTHALONIL,2019,1.0077986482835,0.317269944829991,1.31789054006304,0.0590778517959293,0.28086191837409,2.98289890334655
